

使用心得：搞活动，买了两支，应该是正品吧，相信京东的品质。还没用，用后再来详细评价。,使用心得：没有鉴别是否是正品，买004来送生日礼物的，顺便给自己买了一个001，两个包装不一样，001有一个塑料袋子包装，004的没有。其他的还好吧，赶上活动比较划算。打开的是001粉色的。,使用心得：滋润度很好，温感变色，很适合裸妆。,使用心得：买了2支，本来想买channel 的，但还是信赖京东自营，所以还是买了迪奥,使用心得：甜甜的味道  闻起来 沁人心脾   没有去验证  跟我之前在别的网站买的不一样   但是之前买的有胶皮味儿  还推不开  这个没有  真的很不错  还会再来买?,使用心得：很好，变色的，也不干，就是小贵，颜色喜欢,使用心得：原本要买烈焰蓝金，但是看到图二这个妹子和我要送的女孩子特别像，就买了这款。，我只想问图二的联系方式在哪里，我要看看全脸是不是真的很像,使用心得：是正品，在其他地方买了假的，盒子字体都是错的，LOGO直接是两个D，这次在京东买，回来就对比了，是正品！,使用心得：真心不错，这支。人忽略，看嘴上的颜色和滋润度,使用心得：买来送人的，都不知道挑什么颜色适合
使用心得：确定是专柜货，是正品！！！口红颜色很漂亮，保湿效果很赞，还送了很漂亮的礼盒和礼袋，店家人真是太好了，五星好评奉上,使用心得：物流很快就到了，口红颜色很漂亮，滋润度也很好，确定是正品，还送了礼盒和礼袋，真心喜欢，五星好评奉上,使用心得：之前在专柜买的，和这个一样，确定是正品。。。，没有色差，很滋润，不起皮，漂亮。。,使用心得：给妈妈的母亲节礼物，妈妈超级喜欢，嘿嘿嘿 自己也买了一只，999红的很正，喜欢哦！入门口红必备！每天放在包里没事涂一下气色会好很多！,使用心得：正品行货，很满意的一次购物，口红很喜欢，一点都不干，很滋润。,使用心得：口红很棒，店家很贴心的送了小礼物，真心不错，是正品，推荐给大家，真的很好看,使用心得：这家的唇膏是正品，可以扫码也可以验货，唇膏不容易掉色，还有好闻的闻到。,使用心得：不错，是正品，送的小样很纯，老婆很喜欢，和专柜的一样，便宜很多，下次还来,使用心得：是真品，颜色品质和我以前在国外买的一样。又红有润,使用心得：换成了唇膏的，完全是个惊喜，颜色超漂亮，好润好滑，比我之前专柜买的小羊皮高定好百倍呀，而且最重要是遮瑕能力好棒，这么久买到最合心意的唇膏，很开心
使用心得：非常好的商品，好可爱呢,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！,使用心得：这款迪奥（Dior）润唇膏粉红魅惑淡粉色的，净含量3.5g，包含：复合维他命、大马士革玫瑰精油、胶原蛋白和乳木果油，有润唇保湿之功效，送给姑娘非常不错。,使用心得：不错  送的小礼物也很好 送女朋友的  很好满分,使用心得：送给喜欢的人，不知道选那个好就选大牌的品质有保证,使用心得：包装精致，唇膏很滋润，颜色很自然哦，非常好看，味道也很好闻，值得入手哦！已第二次购买。支持京东。给力。,使用心得：相信京东，东西是正品，价格实惠，快递不多说，买的礼盒装！老婆很喜欢，味道很好闻，女人迪奥，男人奥迪！,使用心得：很好 女朋友很喜欢 颜色好看 特别满意的一次购物 很好,使用心得：虽然没有两天之类到，但是还好，东西也还不错、给我的感觉就是三个字，高大上。值啦！,使用心得：不错，快递很快，帮朋友买的，朋友挺喜欢！
使用心得：搞活动，买了两支，应该是正品吧，相信京东的品质。还没用，用后再来详细评价。,使用心得：005号也适合皮肤不是很白的女孩使用，是淡淡的紫色，很甜美，很润，美美哒，入手一只，不错，还有淡淡的香味哦,使用心得：没有鉴别是否是正品，买004来送生日礼物的，顺便给自己买了一个001，两个包装不一样，001有一个塑料袋子包装，004的没有。其他的还好吧，赶上活动比较划算。打开的是001粉色的。,使用心得：这款迪奥005唇膏关注很久了，趁着京东520搞活动，马上就下单！520送给老婆的礼物，老婆非常喜欢！,使用心得：滋润度很好，温感变色，很适合裸妆。,使用心得：没有鉴别是否是正品，买004来送生日礼物的，顺便给自己买了一个001，两个包装不一样，001有一个塑料袋子包装，004的没有。其他的还好吧，赶上活动比较划算。打开的是001粉色的。,使用心得：希望是正品吧，不会分，京东自营你可不要骗我啊！不过肯定全球购的那些非自营店，卖mk蔻驰那些的，百分之九十九都是假的，刘强你怎么不不管管呢？,使用心得：买了2支，本来想买channel 的，但还是信赖京东自营，所以还是买了迪奥,使用心得：物流超快，本来开始还在纠结颜色，但是看到这款之后……哈哈！口红颜色很漂亮，味道闻起来也很不错！,使用心得：甜甜的味道  闻起来 沁人心脾   没有去验证  跟我之前在别的网站买的不一样   但是之前买的有胶皮味儿  还推不开  这个没有  真的很不错  还会再来买?

使用心得：大年三十下单 大年初七上班就收到了。开心。包装超级好！小羊皮太好看了！,使用心得：就是个高端润唇膏…女朋友还非要我拍美它！！！,使用心得：味道好 颜值超高 喜欢 快递稍微有点慢 比预计的晚一天 可能跟年底有关 订单跟踪一直没有更新 总之很好,使用心得：因为很喜欢她的外壳，种草已久，今天终于拔草了。去实体丝芙兰店铺看过，断货了，网店也是好不容易才到货的，所以立马下单了。唇膏特别小一只，效果么普普通通啦！质地很一般，好像是有变色效果，唇膏气味不喜欢,使用心得：颜值确实高，手感挺好。包装是没有塑封的。就想尝尝味道，咬一口 会不会被女朋友打死？,使用心得：手感非常好，，包装非常精美，意外发现惊喜,使用心得：物流超快的，过年期间还是很惊喜的。还没用，期待效果！,使用心得：好好好好好好好号号好好好好好好,使用心得：……好多朋友去韩国都买不到，这款是限量款的……所以这个是真是假也不敢确定，但是有颜值就够了,使用心得：外观粉哒哒的，少女心，手残党没打开好，坏了一丢丢，心疼，味道好闻，使用了一下，比较滋润
使用心得：香奈儿这个名牌子应该来说是好用的，可是我收到这去款确不像我想的那么好，搽上嘴唇有一种厚厚的感觉挺不爽的真有点像假的，虽然我不怎么喜欢这款宝贝，但用这个牌子的其也宝贝都还足挺满意的比喻香水邂逅我就挺喜欢a,使用心得：东西不错，能不能换个人写字，这个字我无力吐槽···,使用心得：挺好的，前天买了44号，用着感觉不错，又买了43号！快递很快，昨天发货今天就收到了！,使用心得：很赞哦，香水很香，然后包装很用心，完美。,使用心得：这个色号真的超级美，非常喜欢，需要配合打底的润唇膏才行，不然会干。另外表扬一下快递虽然发的是中通，不过也是超快的，隔天就到了～，，,使用心得：客服很热情，推荐的都很满意，还有兰蔻香水，护手霜小礼物。来个香奈儿外包装手提袋就完美了。,使用心得：挺好的，还送了一些礼物。,使用心得：东西挺小巧的，没有用，不知道效果怎么样,使用心得：是正品，送对象的 ，对象很喜欢,使用心得：物流速度很快，态度很好，商品包装很棒，外观漂亮。

使用心得：颜色不错，很好的产品。个人感觉比迪奥好用，不容易掉色，支持京东，拒绝水货。,使用心得：柔软舒适，颜色很漂亮，包装简单大气，弹簧的，很方便。,使用心得：不错不错不错不错,使用心得：好评，女朋友非常开心。,使用心得：跟在专柜买的一样，很好。物流超级快，好评,使用心得：宝贝今天收到了，朋友很喜欢，粉粉嫩嫩的，涂上还显年轻，超喜欢?！,使用心得：货真价实，相信京东，颜色很好看，是我理想中的那一款。还赠送礼品~,使用心得：很好用，颜色很好看，送人很喜欢，产品不错,使用心得：女朋友说她太喜欢这个颜色了 不错,使用心得：颜色涂上去都说很好看  就是用起来比较干  只要在涂之前做好唇部打理就行了   挺不错的
使用心得：物流速度很快，一开始还担心运输的的过程中担心口红损坏。。。收到货以后发现这个担心完全是多余了，包装很完整。。。用来送人是完全没有问题了。收藏店铺了。,使用心得：还可以吧媳妇喜欢是不是真品就不知道了给个好评吧,使用心得：送人的，包装很美，我是男生，不知道颜色好坏,使用心得：其余还好  只是盒子有点瘪了   不是很完美！,使用心得：完美无缺送到就行。媳妇儿（我心中的）喜欢就行，哈哈，这种有礼品盒的还是很方便的。,使用心得：东西不错，是正品，很满意，包装也不错，发货速度快。,使用心得：女朋友很喜欢，真品，开心的不要不要的，颜色很好看,使用心得：给女朋友买的，说很喜欢，喜欢就是好的,使用心得：虽然快递有点小失误，但总体上来看还可以，女朋友很喜欢,使用心得：物流超级快，质量也杠杠滴哦~

